"State","State.Abbreviation","Policy","Date","Group"
"New Hampshire","NH","Closed.movie.theaters",2020-03-28,"Lockdown"
"Rhode Island","RI","Stay.at.home.shelter.in.place",2020-03-28,"Lockdown"
"Kansas","KS","Stay.at.home.shelter.in.place",2020-03-30,"Lockdown"
"Kansas","KS","Closed.other.non.essential.businesses",2020-03-30,"Lockdown"
"Kansas","KS","Closed.restaurants",2020-03-30,"Lockdown"
"Kansas","KS","Closed.gyms",2020-03-30,"Lockdown"
"Kansas","KS","Closed.movie.theaters",2020-03-30,"Lockdown"
"Kansas","KS","Closed.bars",2020-03-30,"Lockdown"
"Maryland","MD","Stay.at.home.shelter.in.place",2020-03-30,"Lockdown"
"North Carolina","NC","Stay.at.home.shelter.in.place",2020-03-30,"Lockdown"
"North Carolina","NC","Closed.other.non.essential.businesses",2020-03-30,"Lockdown"
"Rhode Island","RI","Closed.other.non.essential.businesses",2020-03-30,"Lockdown"
"Virginia","VA","Stay.at.home.shelter.in.place",2020-03-30,"Lockdown"
"Arizona","AZ","Stay.at.home.shelter.in.place",2020-03-31,"Lockdown"
"Arizona","AZ","Closed.other.non.essential.businesses",2020-03-31,"Lockdown"
"Nevada","NV","Stay.at.home.shelter.in.place",2020-03-31,"Lockdown"
"District of Columbia","DC","Stay.at.home.shelter.in.place",2020-04-01,"Lockdown"
"Oklahoma","OK","Closed.other.non.essential.businesses",2020-04-01,"Lockdown"
"Oklahoma","OK","Closed.restaurants",2020-04-01,"Lockdown"
"Oklahoma","OK","Closed.gyms",2020-04-01,"Lockdown"
"Oklahoma","OK","Closed.movie.theaters",2020-04-01,"Lockdown"
"Oklahoma","OK","Closed.bars",2020-04-01,"Lockdown"
"Pennsylvania","PA","Stay.at.home.shelter.in.place",2020-04-01,"Lockdown"
"South Carolina","SC","Closed.other.non.essential.businesses",2020-04-01,"Lockdown"
"South Carolina","SC","Closed.gyms",2020-04-01,"Lockdown"
"South Carolina","SC","Closed.movie.theaters",2020-04-01,"Lockdown"
"South Carolina","SC","Closed.casinos",2020-04-01,"Lockdown"
"Tennessee","TN","Closed.other.non.essential.businesses",2020-04-01,"Lockdown"
"Iowa","IA","Closed.K.12.public.schools",2020-04-02,"Lockdown"
"Maine","ME","Stay.at.home.shelter.in.place",2020-04-02,"Lockdown"
"Maine","ME","Closed.K.12.public.schools",2020-04-02,"Lockdown"
"Tennessee","TN","Stay.at.home.shelter.in.place",2020-04-02,"Lockdown"
"Texas","TX","Closed.other.non.essential.businesses",2020-04-02,"Lockdown"
"Texas","TX","Closed.movie.theaters",2020-04-02,"Lockdown"
"Florida","FL","Stay.at.home.shelter.in.place",2020-04-03,"Lockdown"
"Florida","FL","Closed.other.non.essential.businesses",2020-04-03,"Lockdown"
"Florida","FL","Closed.restaurants",2020-04-03,"Lockdown"
"Florida","FL","Closed.gyms",2020-04-03,"Lockdown"
"Florida","FL","Closed.movie.theaters",2020-04-03,"Lockdown"
"Georgia","GA","Stay.at.home.shelter.in.place",2020-04-03,"Lockdown"
"Georgia","GA","Closed.other.non.essential.businesses",2020-04-03,"Lockdown"
"Georgia","GA","Closed.restaurants",2020-04-03,"Lockdown"
