"State","State.Abbreviation","Policy","Date","Group"
"Pennsylvania","PA","reopening_business","6/5/2020","Reopening"
"Rhode Island","RI","reopening_business","5/9/2020","Reopening"
"South Carolina","SC","reopening_business","4/20/2020","Reopening"
"Tennessee","TN","reopening_business","4/27/2020","Reopening"
"Texas","TX","reopening_business","5/1/2020","Reopening"
"Utah","UT","reopening_business","5/1/2020","Reopening"
"Vermont","VT","reopening_business","4/27/2020","Reopening"
"Virginia","VA","reopening_business","5/29/2020","Reopening"
"Washington","WA","reopening_business","6/1/2020","Reopening"
"West Virginia","WV","reopening_business","5/4/2020","Reopening"
"Wisconsin","WI","reopening_business","5/11/2020","Reopening"
"Wyoming","WY","reopening_business","5/1/2020","Reopening"
"Alabama","AL","reopening_restaurants","5/11/2020","Reopening"
"Alaska","AK","reopening_restaurants","4/24/2020","Reopening"
"Arizona","AZ","reopening_restaurants","5/11/2020","Reopening"
"Arkansas","AR","reopening_restaurants","5/11/2020","Reopening"
"California","CA","reopening_restaurants","5/18/2020","Reopening"
"Colorado","CO","reopening_restaurants","5/27/2020","Reopening"
"Connecticut","CT","reopening_restaurants","5/20/2020","Reopening"
"Delaware","DE","reopening_restaurants","6/1/2020","Reopening"
"District of Columbia","DC","reopening_restaurants","5/29/2020","Reopening"
"Florida","FL","reopening_restaurants","5/18/2020","Reopening"
"Georgia","GA","reopening_restaurants","4/27/2020","Reopening"
"Hawaii","HI","reopening_restaurants","6/5/2020","Reopening"
"Idaho","ID","reopening_restaurants","5/16/2020","Reopening"
"Illinois","IL","reopening_restaurants","5/29/2020","Reopening"
"Indiana","IN","reopening_restaurants","5/18/2020","Reopening"
"Iowa","IA","reopening_restaurants","5/15/2020","Reopening"
"Kansas","KS","reopening_restaurants","5/4/2020","Reopening"
"Kentucky","KY","reopening_restaurants","5/22/2020","Reopening"
"Louisiana","LA","reopening_restaurants","5/1/2020","Reopening"
"Maine","ME","reopening_restaurants","6/1/2020","Reopening"
"Maryland","MD","reopening_restaurants","5/29/2020","Reopening"
"Massachusetts","MA","reopening_restaurants","6/8/2020","Reopening"
"Michigan","MI","reopening_restaurants","6/8/2020","Reopening"
"Minnesota","MN","reopening_restaurants","6/1/2020","Reopening"
"Mississippi","MS","reopening_restaurants","5/7/2020","Reopening"
